file_name,status,freq_e,freq_c,freq_o,freq_a,freq_g,freq_p,freq_n,freq_r,freq_v,freq_t,freq_h,freq_k,freq_s,freq_l,freq_y,freq_q
CH-303104-A_full.pdf,ok,18.03,2.1,2.02,4.68,4.72,1.59,11.93,7.57,0.71,4.72,3.96,0.71,6.06,2.06,0.08,0.12
CH-311710-A_full.pdf,ok,13.84,3.23,4.77,4.87,1.95,2.31,8.56,8.2,1.28,6.51,5.79,1.38,6.1,4.77,1.23,0.0
CH-316923-A_full.pdf,ok,17.84,1.64,1.83,4.7,4.03,0.71,10.64,8.59,0.97,6.57,3.58,1.49,6.91,3.66,0.15,0.0
CH-324088-A_full.pdf,ok,16.27,2.62,6.82,5.54,1.53,3.56,8.85,7.17,2.08,8.26,0.2,0.0,4.3,5.24,0.15,0.64
CH-328353-A_full.pdf,ok,16.37,2.94,2.86,4.94,3.21,0.82,10.58,8.38,1.49,5.8,4.43,0.71,6.15,3.06,0.08,0.04
CH-331750-A_full.pdf,ok,14.48,2.17,4.34,6.88,2.94,1.89,10.1,6.32,0.93,6.76,4.95,1.01,6.88,4.34,0.8,0.0
CH-332553-A_full.pdf,ok,14.78,2.76,5.2,6.77,1.33,4.53,7.77,6.67,1.38,7.91,0.48,0.0,6.34,6.29,0.29,0.62
CH-334734-A_full.pdf,ok,14.6,4.05,6.14,6.1,1.05,4.27,7.49,7.32,1.35,7.41,0.26,0.0,6.19,4.92,0.04,0.61
CH-351906-A_full.pdf,ok,15.89,2.85,4.51,8.09,1.63,3.62,8.03,7.43,1.13,7.36,0.6,0.0,5.87,5.57,0.07,1.0
CH-361733-A_full.pdf,ok,18.27,3.37,1.87,4.89,2.91,0.95,10.1,7.94,0.52,5.47,5.12,0.95,7.74,3.25,0.14,0.0
CH-366458-A_full.pdf,ok,16.57,2.31,2.53,6.15,3.53,0.78,8.3,8.3,1.44,5.71,3.81,0.87,7.96,2.75,0.0,0.06
CH-369930-A_full.pdf,ok,18.63,2.68,1.31,4.56,4.31,0.62,10.86,7.46,1.37,6.15,4.65,1.28,5.71,3.59,0.12,0.03
CH-373677-A_full.pdf,ok,15.36,3.38,5.1,7.43,1.04,3.53,8.48,6.94,1.54,7.31,0.43,0.28,5.8,5.71,0.09,0.74
CH-379977-A_full.pdf,ok,16.59,2.58,2.78,4.98,4.09,0.21,9.92,9.27,1.01,5.78,3.67,0.8,6.55,3.38,0.03,0.03
CH-380086-A_full.pdf,ok,15.75,3.21,2.2,4.1,3.39,0.76,8.99,8.75,1.38,7.34,4.92,1.07,5.26,3.7,0.0,0.03
CH-383024-A_full.pdf,ok,16.09,2.73,5.22,6.71,1.18,3.61,8.11,6.83,1.0,7.14,0.39,0.0,7.44,5.71,0.06,1.12
CH-388702-A_full.pdf,ok,14.87,3.14,5.86,6.52,1.31,3.14,8.31,6.07,1.52,7.31,0.72,0.0,6.69,6.48,0.59,0.62
CH-389229-A_full.pdf,ok,18.14,2.64,1.94,5.31,3.7,1.18,9.92,6.61,0.73,5.61,3.82,1.58,7.71,3.61,0.0,0.03
CH-398173-A_full.pdf,ok,17.76,2.71,1.16,4.94,4.54,0.71,10.68,7.48,0.49,6.1,4.72,0.67,6.68,4.23,0.0,0.0
CH-432271-A_full.pdf,ok,14.43,2.86,5.55,7.18,2.26,3.03,8.94,5.98,1.4,7.51,0.57,0.03,6.52,5.02,0.13,0.96
CH-438325-A_full.pdf,ok,16.04,2.48,3.39,5.49,2.93,0.88,10.44,7.16,1.14,6.44,3.7,2.13,5.71,4.61,0.88,0.0
CH-446223-A_full.pdf,ok,15.95,2.95,2.3,4.9,3.04,0.3,9.13,6.88,0.47,7.18,4.37,1.33,9.16,4.05,0.12,0.12
CH-450415-A_full.pdf,ok,14.56,2.77,2.83,6.13,3.16,1.12,10.74,7.31,1.52,5.8,3.62,1.78,5.34,5.53,0.99,0.0
CH-451181-A_full.pdf,ok,13.17,2.22,3.08,7.68,3.33,1.3,9.47,7.77,1.2,4.94,4.84,1.33,5.83,4.32,0.37,0.03
CH-45487-A_full.pdf,ok,14.27,3.1,6.55,6.25,0.61,3.76,7.67,6.09,0.56,6.45,1.63,0.15,5.74,5.89,1.02,1.12
CH-459356-A_full.pdf,ok,17.78,2.19,2.24,4.89,3.47,1.76,10.01,7.53,0.83,5.15,3.93,1.2,8.28,3.85,0.16,0.0
CH-466969-A_full.pdf,ok,17.13,2.96,2.27,4.32,4.11,0.61,11.21,8.0,1.25,5.2,3.63,1.87,7.34,3.26,0.08,0.03
CH-474561-A_full.pdf,ok,16.63,1.82,3.65,5.8,2.92,1.3,10.67,7.54,0.73,6.08,3.73,0.81,5.35,3.77,0.65,0.0
CH-484267-A_full.pdf,ok,15.5,2.36,3.12,4.92,3.54,0.83,10.58,6.4,0.83,5.66,3.8,1.09,8.99,4.13,0.77,0.0
CH-484691-A_full.pdf,ok,16.45,3.09,2.6,5.1,3.17,0.62,10.76,6.55,1.29,5.8,4.45,1.74,6.95,3.6,0.03,0.0
CH-485997-A_full.pdf,ok,14.92,3.2,2.37,5.54,5.09,0.83,8.52,6.89,0.83,6.23,3.52,1.06,7.92,3.54,0.14,0.06
CH-487733-A_full.pdf,ok,16.28,2.16,2.22,4.61,3.75,0.98,10.09,9.16,1.04,6.57,3.31,0.81,5.56,3.17,0.03,0.03
CH-508079-A_full.pdf,ok,15.57,2.87,1.44,6.17,3.12,2.11,10.84,6.98,0.51,4.79,4.7,1.35,6.25,4.0,0.2,0.0
CH-524450-A_full.pdf,ok,16.38,3.09,1.83,4.27,3.47,1.26,9.3,7.24,0.65,5.63,4.45,1.16,7.76,4.05,0.0,0.0
CH-525540-A_full.pdf,ok,15.79,3.17,2.62,4.85,3.99,0.47,10.35,6.31,0.82,5.84,4.65,1.46,6.98,4.18,0.02,0.05
CH-526884-A_full.pdf,ok,16.01,2.32,1.7,5.22,5.01,0.8,11.49,8.37,0.96,6.22,3.43,1.52,6.84,2.94,0.03,0.08
CH-536087-A_full.pdf,ok,12.59,5.44,1.7,5.78,5.1,1.36,7.14,7.14,1.02,10.54,7.14,0.34,7.48,2.04,0.0,0.0
CH-544629-A_full.pdf,ok,11.0,5.12,8.95,9.97,1.53,2.81,7.42,5.88,1.53,6.14,1.79,0.0,3.07,7.42,0.0,0.0
CH-547002-A_full.pdf,ok,13.42,4.11,1.95,4.76,4.33,2.16,7.58,7.79,0.87,7.14,4.98,1.52,7.79,3.9,0.0,0.0
CH-551602-A_full.pdf,ok,15.35,3.22,2.48,6.68,2.72,1.73,10.4,6.44,1.49,8.42,4.46,1.49,5.69,2.97,0.0,0.0
CH-556856-A_full.pdf,ok,13.59,4.62,1.63,4.62,4.89,1.36,8.7,6.79,1.36,8.7,5.43,0.27,7.07,3.8,0.0,0.0
CH-563190-A5_full.pdf,ok,14.75,4.61,2.76,5.07,3.46,1.38,6.91,7.6,0.92,8.99,4.61,2.3,6.91,2.76,0.0,0.0
CH-563800-A5_full.pdf,ok,12.12,5.51,3.03,5.23,3.58,2.2,7.44,7.71,1.38,8.54,5.23,0.28,7.16,3.31,0.28,0.0
CH-57005-A_full.pdf,ok,17.98,2.65,1.86,5.65,3.49,1.02,9.62,6.01,0.84,6.49,3.79,1.26,6.98,4.09,0.0,0.0
CH-575025-A5_full.pdf,ok,11.51,5.63,4.35,7.93,3.58,1.53,7.67,5.88,0.77,8.18,4.35,0.0,8.44,4.09,1.02,0.0
CH-581334-A5_full.pdf,ok,13.71,4.31,1.78,4.06,4.57,1.78,7.61,7.36,1.52,7.87,4.31,1.78,6.09,5.58,1.02,0.0
CH-589836-A5_full.pdf,ok,13.55,4.67,1.4,3.97,3.04,1.64,7.94,5.84,1.17,7.01,5.84,1.17,7.48,5.37,0.0,0.0
CH-611067-A5_full.pdf,ok,16.06,4.07,5.01,5.96,1.09,3.71,7.78,6.47,1.09,8.14,0.73,0.0,5.31,4.94,0.44,0.65
CH-611579-A5_full.pdf,ok,16.8,2.89,2.0,5.9,4.23,1.33,10.9,6.9,1.45,6.67,3.56,0.44,5.67,3.23,0.11,0.0
CH-617253-A5_full.pdf,ok,15.33,3.07,2.11,5.81,4.23,1.16,10.47,6.77,1.06,7.61,3.7,1.16,6.55,4.55,0.11,0.0
CH-617523-A5_full.pdf,ok,16.07,3.28,3.81,6.1,3.75,1.06,9.03,8.15,1.23,5.4,3.75,0.47,8.15,3.81,0.35,0.0
CH-618439-A5_full.pdf,ok,16.32,3.56,2.86,5.12,2.95,1.39,9.98,9.11,1.3,6.16,3.82,1.04,5.64,3.99,1.22,0.0
CH-621919-A5_full.pdf,ok,17.14,3.26,1.13,5.38,2.55,1.98,10.48,7.65,1.56,7.08,4.25,0.85,6.66,3.4,0.28,0.14
CH-67521-A_full.pdf,ok,18.96,2.83,0.77,6.3,3.53,0.82,11.96,8.3,0.94,5.18,3.53,0.94,4.89,3.12,0.0,0.0
CH-72921-A_full.pdf,ok,17.61,1.84,1.61,3.97,3.16,1.44,11.62,8.11,0.92,4.2,4.2,1.32,5.7,3.28,0.23,0.0
CH-74392-A_full.pdf,ok,16.13,2.82,2.76,5.36,3.04,0.66,10.83,8.73,0.83,6.69,4.09,1.93,5.25,4.14,0.0,0.0
CH-79759-A_full.pdf,ok,17.73,2.61,1.02,5.67,3.63,1.02,11.84,7.71,0.91,6.01,3.17,0.96,7.03,3.63,0.0,0.17
CH-80327-A_full.pdf,ok,13.1,2.86,2.74,6.61,2.38,1.67,8.87,7.33,0.6,6.67,3.69,1.31,6.97,4.17,0.18,0.0
CH-81155-A_full.pdf,ok,15.49,3.32,5.13,6.27,0.93,2.75,8.55,5.65,1.19,7.93,0.83,0.0,8.34,5.54,0.21,1.09
CH-84618-A_full.pdf,ok,14.64,4.36,6.65,6.65,0.27,2.93,8.73,6.23,0.96,7.34,0.53,0.0,6.81,5.22,0.27,1.22
CH-95198-A_full.pdf,ok,17.88,3.34,2.21,3.39,3.98,0.54,10.27,6.78,0.93,5.99,4.37,0.79,5.7,3.63,0.1,0.0
